imdb_id,star,director,actor1,actor2,actor3,genre,runtime,user,critc,budget
tt0120376,5.7,George Huang,Will Friedle,Jennifer Love Hewitt,Marley Shelton,Comedy,85,43,3,15000000
tt0118870,4.6,John Ridley,David Caruso,Kelly Lynch,Stacey Dash,Crime,96,13,6,0
tt0130297,7.1,Joe Gayton,Samantha Mathis,Barbara Pilavin,Kimberly Scott,Drama,,10,1,0
tt0028905,7.1,Pierre Chenal,Pierre Blanchar,Isa Miranda,Catherine Fonteney,Drama,83,2,1,0
tt0119327,5.2,Robert Downey Sr.,Alyssa Milano,Mark Boone Junior,Malcolm McDowell,Comedy,92,33,13,0
tt0119401,5.3,Mike Barker,John Hannah,Helen McCrory,Jason Flemyng,Comedy,95,3,1,0
tt0118811,6.5,Peter Svatek,Rutger Hauer,Bronwen Booth,Charles Edwin Powell,Adventure,91,8,2,0
tt7253216,no data,Alex Lutz,Alex Lutz,Tom Dingler,Pascale Arbillot,no data,,no data,1,0
tt0113646,5.4,Rod McCall,Rose McGowan,Dan Gunther,Brian Taylor,Comedy,82,14,3,0
tt0111453,4.8,Salomé Breziner,Fairuza Balk,Lenny von Dohlen,Will Patton,Action,108,4,2,0
tt0115801,5.4,Lisa Gottlieb,Jim Metzler,Joe Stevens,Bill Wise,Action,100,3,4,0
tt0115832,6.9,Ken Loach,Robert Carlyle,Oyanka Cabezas,Scott Glenn,Drama,125,18,21,0
tt0118042,6.4,Jack Fisher,Danny Aiello,Geraldo Rivera,,Documentary,,no data,4,0
tt0118772,4.9,Robert Greenwald,Russell Crowe,Salma Hayek,Abraham Alvarez,Comedy,90,29,11,0
tt0112907,6.3,Peter Cohn,Richard Lewis,Liza Harris,Liam Ahern,Drama,90,22,14,0
tt0118958,5.2,John A. Gallagher,Matt Keeslar,Brian Kelly,Jack O'Connell,Comedy,99,13,5,0
tt0116356,5.5,Robert Tinnell,Jamieson Boulanger,Ricky Mabe,Polly Shannon,Comedy,90,5,2,0
tt0119227,6.3,Michael Cohn,Sigourney Weaver,Sam Neill,Gil Bellows,Fantasy,100,73,23,26000000
tt0091149,7.2,Ron Clements,Vincent Price,Barrie Ingham,Val Bettin,Animation,74,99,58,14000000
tt0113425,5.4,Scott Michell,Oliver Cotton,Tony Bluto,Paul Brightwell,Crime,110,7,9,0
tt2558318,5.4,Tom Hammock,Haley Lu Richardson,Booboo Stewart,Max Charles,Action,95,26,32,0
tt0111038,7.1,Dusan Makavejev,Rambo Amadeus,Melodie Annis,Dennis Jakob,Documentary,52,1,no data,0
tt0117172,5.7,Richard Mauro,Dana Wheeler-Nicholson,James McCaffrey,John Dossett,Comedy,93,8,4,0
tt0082898,6.6,Peter Markle,Bill Schoppert,Karen Landry,Paul Eiding,Comedy,90,7,2,0
tt0090927,5.6,Menahem Golan,Chuck Norris,Lee Marvin,Martin Balsam,Action,125,144,59,0
tt0116592,5.5,Billy Hopkins,Jeanne Moreau,Claire Danes,Jude Law,Drama,88,44,8,0
tt0120392,6.8,Ross Kagan Marks,Garry Marshall,Faye Dunaway,Jill Bernstein,Drama,92,23,16,0
tt0118127,4.9,Dana Lustig,Illeana Douglas,Paulina Porizkova,Julie Warner,Comedy,102,3,7,0
tt0117351,5.7,Gérard Lauzier,Gérard Depardieu,Michèle Laroque,Souad Amidou,Comedy,105,3,no data,0
tt0120018,6.6,Claude Chabrol,Isabelle Huppert,Michel Serrault,François Cluzet,Comedy,105,20,40,0
tt0118828,4.4,Rick King,Jeffrey Donovan,Jeff Fahey,Andrew Fiscella,Drama,,2,1,0
tt0117773,5.9,Daniel J. Sullivan,Tony Goldwyn,Benjamin Ungar,Timothy Hutton,Drama,97,16,14,0
tt0119429,6.1,Alan Wade,Christian Slater,Robin Tunney,Michael Parks,Comedy,84,23,5,0
tt0119819,4.9,Cindy Sherman,Carol Kane,Molly Ringwald,Jeanne Tripplehorn,Comedy,82,29,42,0
tt0116480,7.2,Jan Troell,Max von Sydow,Ghita Nørby,Anette Hoff,Biography,159,7,13,0
tt0112454,7.2,John Schultz,Kevin Corrigan,Steve Parlavecchio,Lee Holmes,Comedy,103,18,10,0
tt0117898,5.2,Michael Oblowitz,Philip Loch,Elis Imboden,Christian Durango,Crime,100,30,23,0
tt0119534,5.2,Evan Dunsky,David Arquette,Stanley Tucci,Kate Capshaw,Comedy,92,23,8,0
tt0118783,6.3,Seth Zvi Rosenfeld,Nick Chinlund,Michael Raynor,Justin Pierce,Drama,92,5,5,0
tt0118020,7.4,Jacques Audiard,Mathieu Kassovitz,Anouk Grinberg,Sandrine Kiberlain,Drama,107,7,13,0
tt0119623,6,Véra Belmont,Sophie Marceau,Bernard Giraudeau,Lambert Wilson,Drama,120,10,6,0
tt0118172,6.3,Terry Jones,Steve Coogan,Eric Idle,Terry Jones,Adventure,84,27,18,12
tt0120394,6.7,Kevin Allen,Llyr Ifans,Rhys Ifans,Dorien Thomas,Comedy,99,49,35,0
tt0116762,5.2,Leslie Greif,Eric Stoltz,James Spader,Deborah Kara Unger,Crime,113,22,14,0
tt0119209,5.7,Mark Pellington,Jeremy Davies,Ben Affleck,Amy Locane,Comedy,110,20,26,0
tt0120748,5.2,Roger Cantin,Marc Labrèche,Marie-France Monette,Steve Gendron,Adventure,,no data,1,0
tt1572502,5.7,Julie Gavras,William Hurt,Isabella Rossellini,Doreen Mantle,Drama,88,8,43,0
tt0119457,3.7,Matthew Harrison,Kevin Corrigan,Linda Fiorentino,Michael Rapaport,Comedy,87,15,17,0
tt0120034,7.2,Paul Weiland,Jean Reno,Mercedes Ruehl,Polly Walker,Comedy,98,17,12,0
tt0120123,5.4,Ronnie Larsen,Blue Blake,Gino Colbert,Billy Kemp,Documentary,75,4,4,0
tt0119256,7.3,Paul Thomas Anderson,Philip Baker Hall,John C. Reilly,Gwyneth Paltrow,Crime,96,149,65,3000000
tt0110405,6.2,Ben Lewin,Gia Carides,Anthony LaPaglia,Rebecca Gibney,Comedy,94,3,9,0
tt0116565,6.3,Craig Rosenberg,Aden Young,Saffron Burrows,Simon Bossell,Comedy,95,11,21,0
tt0122436,5.7,Michel Poulette,Serge Dupire,Macha Grenon,Jacques Godin,Crime,,no data,no data,0
tt0119052,7.3,Richard Friedenberg,James Cromwell,Joseph Ashton,Tantoo Cardinal,Drama,115,21,18,0
tt0114303,5.5,Clare Peploe,Bridget Fonda,Russell Crowe,Jim Broadbent,Comedy,100,24,22,0
tt0119809,6.4,Gregg Araki,James Duval,Rachel True,Nathan Bexton,Comedy,82,100,36,0
tt0116714,6.3,Scott Silver,David Arquette,Lukas Haas,Tony Epper,Drama,96,34,23,0
tt0124777,5,Ela Troyano,Irwin Ossa,John Bryant,Jenifer Lee Simard,Comedy,71,7,13,0
tt0116650,7,Olivier Assayas,Maggie Cheung,Jean-Pierre Léaud,Nathalie Richard,Comedy,99,38,51,0
tt0119533,6.8,Menachem Daum,Leonard Nimoy,Sarah Jessica Parker,Zeldy Abromowitz,Documentary,96,4,11,0
tt0118540,7.9,Spike Lee,Maxine McNair,Walter Cronkite,Chris McNair,Documentary,102,35,15,0
tt0127497,7,Rick Elgood,Audrey Reid,Carl Davis,Paul Campbell,Drama,98,13,5,0
tt0117106,6.4,Marcos Zurinaga,Andy Garcia,Esai Morales,Naim Thomas,Biography,142,25,16,0
tt0120254,5.8,Richard Rich,Michelle Nicastro,Douglas Sills,Jake Williamson,Animation,71,9,6,0
tt0118845,7.8,Kar-Wai Wong,Leslie Cheung,Tony Chiu-Wai Leung,Chen Chang,Drama,96,72,42,0
tt0120539,6.6,Jim Jarmusch,Neil Young,Jim Jarmusch,Ralph Molina,Documentary,106,21,31,0
tt0113314,7.3,Angela Pope,Sam Bould,Martin Donovan,Ian Hart,Drama,102,14,20,0
tt0118586,6.6,Alex Sichel,Alison Folland,Tara Subkoff,Cole Hauser,Crime,93,42,28,0
tt0116102,6.7,Richard Spence,Steven Mackintosh,Rupert Graves,Miriam Margolyes,Comedy,97,40,29,0
tt0120303,6.3,Guy Ferland,Kevin Bacon,Brad Renfro,Maximilian Schell,Drama,101,26,22,0
tt0118044,6.6,Nick Cassavetes,Gena Rowlands,Marisa Tomei,Gérard Depardieu,Drama,103,19,20,0
tt0118015,7.6,Cédric Klapisch,Jean-Pierre Bacri,Jean-Pierre Darroussin,Catherine Frot,Comedy,110,24,21,0
tt0120265,7.7,Abbas Kiarostami,Homayoun Ershadi,Abdolrahman Bagheri,Afshin Khorshid Bakhtiari,Drama,95,88,88,0
tt0113223,5.5,Jeremy Haft,Dan Haggerty,Dylan Haggerty,Nicole Lund,Adventure,96,5,2,0
tt0119237,6.7,Harmony Korine,Nick Sutton,Jacob Sewell,Lara Tosh,Comedy,89,403,50,1300000
tt0119062,5.6,Wim Wenders,Traci Lind,Rosalind Chao,Bill Pullman,Drama,122,69,48,5000000
tt2237324,6.1,Bobby Moresco,Andy Garcia,Karl Urban,Sofía Vergara,Crime,96,25,10,0
tt0120357,5.7,Paul Schrader,Bridget Fonda,Christopher Walken,Skeet Ulrich,Comedy,96,23,27,0
tt0120490,6.8,Michael Winterbottom,Stephen Dillane,Woody Harrelson,Marisa Tomei,Drama,103,56,60,0
tt0116783,6.5,Lynne Stopkewich,Molly Parker,Peter Outerbridge,Jay Brazeau,Drama,78,57,40,0
tt0120087,4.5,Dee McLachlan,Jamie Williams,Billy Campbell,Roddy McDowall,Adventure,88,8,10,0
tt0118762,6.7,Mark Christopher,Michael Saucedo,Justin Urich,Travis Sher,Drama,74,5,7,0
tt0120366,6.2,Jack N. Green,Bill Paxton,Mark Wahlberg,Julianna Margulies,Crime,101,13,22,0
tt0116308,7.3,Deepa Mehta,Shabana Azmi,Nandita Das,Karishma Jhalani,Drama,108,56,30,0
tt0119746,6,Bart Freundlich,Julianne Moore,Roy Scheider,Noah Wyle,Comedy,93,36,34,2000000
tt0119392,6,Claude Fournier,Roy Dupuis,Patrick Huard,Charlotte Laurier,Comedy,104,7,no data,850000
tt0113774,7.3,Mort Ransen,Helena Bonham Carter,Kate Nelligan,Clive Russell,Drama,114,13,11,0
tt0120197,5.9,Miguel Arteta,Douglas Spain,Efrain Figueroa,Kandeyce Jorden,Comedy,86,20,23,0
tt0116930,7,Shirley Barrett,Miranda Otto,Rebecca Frith,George Shevtsov,Comedy,101,34,36,0
tt0119324,6.7,Mark Waters,Parker Posey,Josh Hamilton,Tori Spelling,Comedy,85,89,41,1500000
tt0117050,6.8,Nana Dzhordzhadze,Pierre Richard,Nino Kirtadze,Micheline Presle,Comedy,100,7,13,0
tt0119527,6.7,Jonas Pate,Tim Roth,Chris Penn,Michael Rooker,Crime,106,70,39,0
tt0115738,7.3,Tom DiCillo,John Turturro,Sam Rockwell,Catherine Keener,Comedy,112,60,30,0
tt0120238,6.8,Richard Linklater,Giovanni Ribisi,Steve Zahn,Jayce Bartok,Comedy,121,85,45,0
tt0119467,6.4,Bill Bennett,Matt Day,Frances O'Connor,Tiffany Peters,Crime,96,27,36,0
tt0093744,5.9,Ken Annakin,Tami Erin,David Seaman,Cory Crow,Family,100,37,9,5000000
tt0116754,7.6,Sergei Bodrov,Oleg Menshikov,Sergey Bodrov,Susanna Mekhraliyeva,Drama,99,26,15,0
tt0128376,5.7,ngel Muñiz,Luisito Martí,Adalgisa Pantaleon,Raúl Carbonell,Comedy,102,1,2,0
tt0116502,6,Jim Wilson,Harvey Keitel,Cameron Diaz,Craig Sheffer,Comedy,92,36,16,0
tt0115886,6.3,Peter Duncan,Judy Davis,Sam Neill,F. Murray Abraham,Comedy,101,27,24,0
tt0119107,7.3,Errol Morris,Dave Hoover,George Mendonça,Rodney Brooks,Documentary,83,43,52,0
tt0109949,7,Tomás Gutiérrez Alea,Carlos Cruz,Mirta Ibarra,Jorge Perugorría,Comedy,105,13,23,0
tt0120521,7.1,Alan Rickman,Phyllida Law,Emma Thompson,Sheila Reid,Drama,108,49,19,0
tt0116293,5.5,Susan Streitfeld,Tilda Swinton,Amy Madigan,Karen Sillas,Drama,119,33,30,0
tt0125128,7,Thom Fitzgerald,Chris Leavins,Kerry Fox,Ian Parsons,Drama,91,29,25,0
tt0120118,6.4,Dale Rosenbloom,Blake Heron,Michael Moriarty,Scott Wilson,Drama,93,16,15,0
