imdb_id,budget_from_api,budget_opus_data,buget_from_imdb_website
tt0118870,0,0,
tt0130297,0,0,
tt0028905,0,0,
tt0119327,0,0,
tt0119401,0,0,
tt0118811,0,0,
tt7253216,0,0,
tt0113646,0,0,
tt0111453,0,0,
tt0115801,0,0,
tt0115832,0,0,
tt0118042,0,0,
tt0118772,0,0,
tt0112907,0,0,
tt0118958,0,0,
tt0116356,0,0,
tt0113425,0,0,
tt2558318,0,0,
tt0111038,0,0,
tt0117172,0,0,
tt0082898,0,0,
tt0090927,0,0,
tt0116592,0,0,
tt0120392,0,0,
tt0118127,0,0,
tt0117351,0,0,
tt0120018,0,0,
tt0118828,0,0,
tt0117773,0,0,
tt0119429,0,0,
tt0119819,0,0,
tt0116480,0,0,
tt0112454,0,0,
tt0117898,0,0,
tt0119534,0,0,
tt0118783,0,0,
tt0118020,0,0,
tt0119623,0,0,
tt0120394,0,0,
tt0116762,0,0,
tt0119209,0,0,
tt0120748,0,0,
tt1572502,0,0,
tt0119457,0,0,
tt0120034,0,0,
tt0120123,0,0,
tt0110405,0,0,
tt0116565,0,0,
tt0122436,0,0,
tt0119052,0,0,
tt0114303,0,0,
tt0119809,0,0,
tt0116714,0,0,
tt0124777,0,0,
tt0116650,0,0,
tt0119533,0,0,
tt0118540,0,0,
tt0127497,0,0,
tt0117106,0,0,
tt0120254,0,0,
tt0118845,0,0,
tt0120539,0,0,
tt0113314,0,0,
tt0118586,0,0,
tt0116102,0,0,
tt0120303,0,0,
tt0118044,0,0,
tt0118015,0,0,
tt0120265,0,0,
tt0113223,0,0,
tt2237324,0,0,
tt0120357,0,0,
tt0120490,0,0,
tt0116783,0,0,
tt0120087,0,0,
tt0118762,0,0,
tt0120366,0,0,
tt0116308,0,0,
tt0113774,0,0,
tt0120197,0,0,
tt0116930,0,0,
tt0117050,0,0,
tt0119527,0,0,
tt0115738,0,0,
tt0120238,0,0,
tt0119467,0,0,
tt0116754,0,0,
tt0128376,0,0,
tt0116502,0,0,
tt0115886,0,0,
tt0119107,0,0,
tt0109949,0,0,
tt0120521,0,0,
tt0116293,0,0,
tt0125128,0,0,
tt0120118,0,0,
tt0116295,0,0,
tt0117359,0,0,
tt0120014,0,0,
tt0120481,0,0,
tt0119465,0,0,
tt0116041,0,0,
tt0119590,0,0,
tt0126036,0,0,
tt0114134,0,0,
tt0118818,0,0,
tt0118566,0,0,
tt0115744,0,0,
tt0119620,0,0,
tt0120151,0,0,
tt0119152,0,0,
tt0119644,0,0,
tt0120275,0,0,
tt0118764,0,0,
tt0118927,0,0,
tt0119225,0,0,
tt0116790,0,0,
tt0118760,0,0,
tt0118900,0,0,
tt0119381,0,0,
tt0119484,0,0,
tt0118663,0,0,
tt0120512,0,0,
tt0120190,0,0,
tt0119280,0,0,
tt0119115,0,0,
tt0120323,0,0,
tt0119783,0,0,
tt0099558,0,0,
tt0119509,0,0,
tt0120373,0,0,
tt0120520,0,0,
tt0119095,0,0,
tt0119086,0,0,
tt0116704,0,0,
tt2394045,0,0,
tt0120318,0,0,
tt0059793,0,0,
tt0118750,0,0,
tt0119215,0,0,
tt0119731,0,0,
tt0119848,0,0,
tt0120032,0,0,
tt0119141,0,0,
tt0120327,0,0,
tt0119051,0,0,
tt0118556,0,0,
tt0118708,0,0,
tt0119432,0,0,
tt0146664,0,0,
tt0124901,0,0,
tt0122710,0,0,
tt0162050,0,0,
tt0116833,0,0,
tt0120219,0,0,
tt0116538,0,0,
tt0169156,0,0,
tt0119547,0,0,
tt0113184,0,0,
tt0185101,0,0,
tt0119986,0,0,
tt0131110,0,0,
tt0119734,0,0,
tt0119272,0,0,
tt0116845,0,0,
tt0118727,0,0,
tt0116141,0,0,
tt0111416,0,0,
tt2497808,0,0,
tt0120162,0,0,
tt0144546,0,0,
tt0132213,0,0,
tt0039689,0,0,
tt0997263,0,0,
tt0155667,0,0,
tt0120593,0,0,
tt0188653,0,0,
tt0119837,0,0,
tt0112922,0,0,
tt0120271,0,0,
tt0196002,0,0,
tt0116488,0,0,
tt0144604,0,0,
tt0128648,0,0,
tt0301050,0,0,
tt0118980,0,0,
tt0120220,0,0,
tt0120213,0,0,
tt0120491,0,0,
tt0183065,0,0,
tt0117350,0,0,
tt0102556,0,0,
tt0144801,0,0,
tt0119007,0,0,
tt0124437,0,0,
tt0139564,0,0,
tt0118756,0,0,
tt0139951,0,0,
tt0127319,0,0,
