n_index,previous_index_num,movie_title_txt_num,imdb_id,n_of_posters,total_box_office,with_adjusted_box_office,total_label,year,movie_title,year_box_office_label,Rnum_year_box_office_label,groups_num,train_or_test,budget
10037,5588,5854,tt0120376,2,217,422,0,1997,Trojan War,0,R0,18,test,0
10036,5576,5839,tt0118870,3,552,1076,0,1997,Cold Around the Heart,0,R0,17,test,0
10035,5548,5800,tt0130297,1,967,1606,0,1997,Sweet Jane,0,R0,16,test,0
10034,5467,5708,tt0028905,1,2126,3534,0,1997,Homme Nu L,0,R0,15,test,0
10033,5365,5592,tt0119327,2,3620,7068,0,1997,Hugo Pool,0,R0,14,train,0
10020,5259,5471,tt0119401,1,5000,9768,0,1997,James Gang The,0,R0,1,train,0
10021,5265,5477,tt0118811,5,5000,9768,0,1997,Call of the Wild Dog of the Yukon The,0,R0,2,train,0
10022,5269,5483,tt7253216,1,5000,9768,0,1997,Guy,0,R0,3,train,0
10023,5270,5484,tt0113646,2,5000,9768,0,1997,Lewis and Clark and George,0,R0,4,train,0
10024,5273,5487,tt0111453,3,5000,9768,0,1997,Tollbooth,0,R0,5,train,0
10025,5278,5492,tt0115801,1,5000,9768,0,1997,Cadillac Ranch,0,R0,6,train,0
10026,5279,5493,tt0115832,3,5000,9768,0,1997,Carlas Song,0,R0,7,train,0
10027,5281,5495,tt0118042,1,5000,9768,0,1997,Unforgotten Twenty Five Years After Willowbrook,0,R0,8,train,0
10028,5282,5497,tt0118772,2,5000,9768,0,1997,Breaking Up,0,R0,9,train,0
10029,5285,5500,tt0112907,3,5000,9768,0,1997,Drunks,0,R0,10,train,0
10030,5288,5503,tt0118958,1,5000,9768,0,1997,Deli The,0,R0,11,train,0
10031,5290,5505,tt0116356,2,5000,9768,0,1997,Frankenstein and Me,0,R0,12,train,0
10032,10235,14127,tt0119227,9,5000,9768,0,1997,Grimm Brothers Snow White The,0,R0,13,train,26000000
10019,5183,5387,tt0091149,40,6707,13105,0,1997,Mouse The,0,R0,0,train,0
8945,5116,5313,tt0113425,3,8225,16065,0,1997,Innocent Sleep The,1,R1,18,test,0
8944,5079,5273,tt2558318,8,9043,15043,0,1997,Well The,1,R1,17,test,0
8943,5007,5193,tt0111038,1,10758,21017,0,1997,Soul in the Hole,1,R1,16,test,0
8942,4993,5177,tt0117172,1,11251,21985,0,1997,Nick and Jane,1,R1,15,test,0
8941,4945,5123,tt0082898,1,12646,20039,0,1997,Personals The,1,R1,14,train,0
8940,4794,4960,tt0090927,18,18134,35432,0,1997,Delta The,1,R1,13,train,0
8939,4732,4895,tt0116592,1,20325,39719,0,1997,I Love You I Love You Not,1,R1,12,train,0
8938,4715,4875,tt0120392,2,20868,40778,0,1997,Twilight of the Golds,1,R1,11,train,0
8937,4689,4848,tt0118127,2,22002,42993,0,1997,Wedding Bell Blues,1,R1,10,train,0
8936,4646,4805,tt0117351,3,23862,46626,0,1997,Le Plus Beau Metier du Monde,1,R1,9,train,0
8935,4622,4778,tt0120018,2,25696,50214,0,1997,Rien ne va plus,1,R1,8,train,0
8934,4603,4756,tt0118828,1,26641,52062,0,1997,Catherines Grove,1,R1,7,train,0
8933,4514,4659,tt0117773,2,31638,61821,0,1997,Substance of Fire The,1,R1,6,train,0
8932,4493,4635,tt0119429,3,33148,64772,0,1997,Julian Po,1,R1,5,train,0
8931,4432,4572,tt0119819,3,37446,73177,0,1997,Office Killer,1,R1,4,train,0
8930,4397,4535,tt0116480,2,40000,78165,0,1997,Hamsun,1,R1,3,train,0
8929,4680,4839,tt0112454,1,44544,87045,0,1997,Bandwagon,1,R1,2,train,0
8928,4746,4909,tt0117898,8,51618,100868,0,1997,This World Then the Fireworks,1,R1,1,train,0
8927,4210,4337,tt0119534,2,55986,107075,0,1997,Alarmist The,1,R1,0,train,0
7951,4120,4236,tt0118783,2,66961,130854,0,1997,Brothers Kiss A,2,R2,18,test,0
7950,4093,4209,tt0118020,1,69977,136748,0,1997,Self Made Hero A,2,R2,17,test,0
7949,4079,4195,tt0119623,3,71384,139501,0,1997,Marquise,2,R2,16,test,0
7948,4063,4179,tt0118172,5,72844,142354,0,1997,Wind in the Willows The,2,R2,15,test,0
7947,4055,4170,tt0120394,2,74188,144973,0,1997,Twin Town,2,R2,14,train,0
7946,4199,4325,tt0116762,3,74777,129408,0,1997,Keys to Tulsa,2,R2,13,train,0
7945,3969,4075,tt0119209,3,86175,168403,0,1997,Going All the Way,2,R2,12,train,0
7944,3955,4060,tt0120748,3,88675,173291,0,1997,Matusalem II,2,R2,11,train,0
7943,4045,4160,tt1572502,6,91285,178386,0,1997,Late Bloomers,2,R2,10,train,0
7942,3877,3978,tt0119457,2,102739,200776,0,1997,Kicked in the Head,2,R2,9,train,0
7941,3829,3927,tt0120034,9,111851,218581,0,1997,For Roseanna,2,R2,8,train,0
7940,3728,3820,tt0120123,1,133048,260004,0,1997,Shooting Porn,2,R2,7,train,0
